event_date,event_timestamp,event_name,event_params.key,event_params.value.string_value,event_params.value.int_value,event_params.value.float_value,event_params.value.double_value,event_previous_timestamp,event_value_in_usd,event_bundle_sequence_id,event_server_timestamp_offset,user_id,user_pseudo_id,privacy_info.analytics_storage,privacy_info.ads_storage,privacy_info.uses_transient_token,user_properties.key,user_properties.value.string_value,user_properties.value.int_value,user_properties.value.float_value,user_properties.value.double_value,user_properties.value.set_timestamp_micros,user_first_touch_timestamp,user_ltv.revenue,user_ltv.currency,device.category,device.mobile_brand_name,device.mobile_model_name,device.mobile_marketing_name,device.mobile_os_hardware_model,device.operating_system,device.operating_system_version,device.vendor_id,device.advertising_id,device.language,device.is_limited_ad_tracking,device.time_zone_offset_seconds,device.web_info.browser,device.web_info.browser_version,geo.continent,geo.sub_continent,geo.country,geo.region,geo.city,geo.metro,app_info.id,app_info.version,app_info.install_store,app_info.firebase_app_id,app_info.install_source,traffic_source.medium,traffic_source.name,traffic_source.source,stream_id,platform,event_dimensions.hostname,ecommerce.total_item_quantity,ecommerce.purchase_revenue_in_usd,ecommerce.purchase_revenue,ecommerce.refund_value_in_usd,ecommerce.refund_value,ecommerce.shipping_value_in_usd,ecommerce.shipping_value,ecommerce.tax_value_in_usd,ecommerce.tax_value,ecommerce.unique_items,ecommerce.transaction_id,items.item_id,items.item_name,items.item_brand,items.item_variant,items.item_category,items.item_category2,items.item_category3,items.item_category4,items.item_category5,items.price_in_usd,items.price,items.quantity,items.item_revenue_in_usd,items.item_revenue,items.item_refund_in_usd,items.item_refund,items.coupon,items.affiliation,items.location_id,items.item_list_id,items.item_list_name,items.item_list_index,items.promotion_id,items.promotion_name,items.creative_name,items.creative_slot
20210121,1.61121E+15,page_view,engagement_time_msec,,13,,,,,-307340413,,,1605951.6059719724,,,No,,,,,,,1.61121E+15,0,USD,mobile,Apple,<Other>,<Other>,,iOS,<Other>,,,en-us,No,,Safari,<Other>,Asia,Western Asia,Qatar,Doha,Doha,(not set),,,,,,(none),(direct),(direct),2100450278,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,debug_mode,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_number,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_referrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_location,https://www.googlemerchandisestore.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_id,,2725571477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,session_engaged,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,engaged_session_event,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_title,Google Online Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210121,1.61121E+15,page_view,page_referrer,,,,,,,-311704457,,,1605951.6059719724,,,No,,,,,,,1.61121E+15,0,USD,mobile,Apple,<Other>,<Other>,,iOS,<Other>,,,en-us,No,,Safari,<Other>,Asia,Western Asia,Qatar,Doha,Doha,(not set),,,,,,(none),(direct),(direct),2100450278,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,clean_event,gtm.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,all_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,entrances,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,session_engaged,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_id,,2725571477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_title,Google Online Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,engaged_session_event,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_number,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,campaign,(direct),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,term,<obfuscated>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,debug_mode,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,source,(direct),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_location,https://www.googlemerchandisestore.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,medium,(none),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210129,1.61196E+15,view_promotion,ga_session_number,,1,,,,,-6653755973,,,2163283.4364849086,,,No,,,,,,,1.61196E+15,0,USD,desktop,Google,Chrome,<Other>,,Windows,Windows 10,,,,No,,Chrome,87.0,Asia,Western Asia,Qatar,Doha,Doha,(not set),,,,,,(none),(direct),(direct),2100450278,WEB,,,,,,,,,,,1,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),,,,,,,,(not set),(not set),(not set),(not set),(not set),Slide 1,(not set),Reach New Heights,Front Page Carousel,(not set)
,,,engagement_time_msec,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_title,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,engaged_session_event,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,debug_mode,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_id,,9278676056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
